autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
Rimbaud Arthur,Opere (bilingue),Letteratura,Feltrinelli,1964,Lett,,,,si
Rossi Paolo,La strana guerra,Letteratura,People,2024,Lett,,,,si
Roth Joseph,La leggenda del santo bevitore,Letteratura,Adelphi,1975,Lett,,,,si
Salinari Carlo,Profilo storico della letteratura italiana 1-3,Letteratura,Editori Riuniti,1972,Lett,,,,si
Sartre Jean-Paul,La nausea. Il muro.,Letteratura,Einaudi,1982,Lett,,,,si
Sartre Jean-Paul,L'età della ragione,Letteratura,Bompiani,1984,Lett,,,,si
Schnitzler Arthur,Doppio sogno,Letteratura,Adelphi,1977,Lett,,,,si
Sciascia Leonardo,A ciascuno il suo,Letteratura,Repubblica,2002,Lett,,,,si
Sciolokov Michail Al.,Il destino di un uomo,Letteratura,Editori Riuniti,1959,Lett,,,,si
Sciolokov Michail Al.,Terre dissodate,Letteratura,Editori Riuniti,1960,Lett,,,,si
Shelley Percy,Prose,Letteratura,Sonzogno,1941,Lett,,,,si
Skarmeta Antonio,Il postino di Neruda (2 copie),Letteratura,Garzanti,2003,Lett,,,,si
Solzenicyn Aleksandr,Il primo cerchio,Letteratura,Mondadori,1974,Lett,,,,si
Stanco Zaharia,I molossi,Letteratura,La pietra,1962,Lett,,,,si
Steinbeck John,Uomini e topi,Letteratura,Fabbri,2001,Lett,,,,si
Stendhal,Il rosso e il nero,Letteratura,L'Unità,1963,Lett,,,,si
Stendhal ,Lucien Leuwen 1-2,Letteratura,Club del libro,1960,Lett,,,,si
Svevo Italo,Senilità,Letteratura,Mondadori,1982,Lett,,,,si
Svevo Italo,La coscienza di Zeno,Letteratura,Repubblica,2002,Lett,,,,si
Svevo Italo,La coscienza si Zeno. Senilità. Una vita,Letteratura,Newton Compton,1997,Lett,,,,si
Tasso Torquato,La Gerusalemme liberata,Letteratura,Sandron,1928,Lett,,,,si
Thompson Morton,Nessuno resta solo,Letteratura,Dall'Oglio,1955,Lett,,,,si
Tobino Mario,Per le antiche scale,Letteratura,Mondadori,1976,Lett,,,,si
Tolkien J.R.R.,Le due torri,Letteratura,Bompiani,2002,Lett,,,,si
Tolstoi Leone ,Guerra e pace I-IV,Letteratura,Mondadori,1957,Lett,,,,si
Tolstoi Lev N.,Guerra e pace,Letteratura,Rizzoli,2002,Lett,,,,si
Twain Mark,Viaggio in paradiso,Letteratura,Longanesi,1965,Lett,,,,si
Uhlman Fred,L'amico ritrovato,Letteratura,Feltrinelli,1986,Lett,,,,si
Undset Sigrid,Primavera,Letteratura,Fabbri,1965,Lett,,,,si
Vasquez Montalban Manuel,Barcelonas,Letteratura,Leonardo,1992,Lett,,,,si
Vazquez Montalban Manuel,Assassinio al Comitato Centrale,Letteratura,Sellerio,1984,Lett,,,,si
Vcervantes Miguel,Don Chisciotte,Letteratura,L'Unità,1966,Lett,,,,si
Verga Giovanni,I Malavoglia,Letteratura,Mondadori,1965,Lett,,,,si
Virgilio,Il libro XII dell'Eneide,Letteratura,Bemporad,1933,Lett,,,,si
Wilde Oscar,The Picture of Dorian Gray (in inglese),Letteratura,Penguin,2003,Lett,,,,si
Yates Richard,I non conformisti,Letteratura,Garzanti,1964,Lett,,,,si
Zumthor Paul,Semiologia e poetica medievale,Letteratura,Feltrinelli,1973,Lett,,,,si
Manzoni Alessandro,I promessi sposi (5 copie),Letteratura,vari,,,,,,si
Alighieri Dante,Divina commedia,Letteratura,,,,,,,si
AA. VV.,Campamento 5 de Majo,Politica,Sugar,1969,A1,,,,si
Amendola Giorgio,Lettere a Milano,Politica,Editori Riuniti,1973,A1,,,,si
Badaloni Nicola,Democratici e socialisti livornesi,Politica,Editori Riuniti,1966,A1,,,,si
Bagarolo Tiziano,Marxismo ed ecologia,Politica,Nuove Edizioni Internazionali,1989,A1,,,,si
Citati Pietro,I frantumi del mondo,Politica,Rizzoli,1978,A1,,,,si
Collotti Enzo,L'antifascismo in Italia e in Europa 1922-1939,Politica,Loescher,1975,A1,,,,si
Falcone Giovanni,Cose di cosa nostra,Politica,Fabbri,1995,A1,,,,si
Fetscher Iring,Il marxismo 1-2-3,Politica,Feltrinelli,1969,A1,,,,si
Guevara Ernesto,Educazione e uomo nuovo,Politica,Il Papiro,1995,A1,,,,si
Lemonnier A.M.,Luce suk patibolo,Politica,elle di ci,1975,A1,,,,si
Maitan Livio,L'esplosione rivoluzionaria in Francia,Politica,Samonà e Savelli,1968,A1,,,,si
Marx-Engels,Manifesto del partito comunista,Politica,PCI ,1973,A1,,,,si
Scuola di Barbiana,Lettera a una professoressa,Politica,Libreria Editrice Fiorentina,1967,A1,,,,si
Trombino Mario,Le parole della democrazia,Politica,Poseidonia,1991,A1,,,,si
Amendola Giorgio,Il comunismo italiano nella II guerra mondiale,Politica,Editori Riuniti,1963,A2,,,,si
Amendola Giorgio,Classe operaia e programmazione democratica,Politica,Editori Riuniti,1966,A2,,,,si
Amendola Giorgio,Comunismo antifascismo Resistenza,Politica,Editori Riuniti,1967,A2,,,,si
Amendola Giorgio,Una scelta di vita (2 copie),Politica,Rizzoli,1977,A2,,,,si
Amendola Giorgio,Un'isola,Politica,Rizzoli,1980,A2,,,,si
Fortebraccio,Lorsignori Corsivi 1971-1972,Politica,Editori Riuniti,1972,A2,,,,si
Fortebraccio,Fanfaneide,Politica,Editori Riuniti,1975,A2,,,,si
Fortebraccio,Partita aperta. Corsivi 1978,Politica,Editori Riuniti,1978,A2,,,,si
Fortebraccio,A carte scoperte. Corsivi 1979,Politica,Editori Riuniti,1979,A2,,,,si
Fortebraccio,Detto tra noi,Politica,Editori Riuniti,1980,A2,,,,si
Fortebraccio,A chiare note,Politica,Editori Riuniti,1981,A2,,,,si
Frontera Claudio,La comunicazione è politica,Politica,Books&Company,2005,A2,,,,si
Manconi-Dini,Il discorso delle armi,Politica,Savelli,1981,A2,,,,si
Nafeez Ahmed,Guerra alla libertà,Politica,Fazi Editore,2002,A2,,,,si
Natoli Aldo,Sulle origini delo stalinismo,Politica,Vallecchi,1979,A2,,,,si
Nunes-Burbach,Democrazia e rivoluzione nelle Americhe,Politica,Mondo Nuovo,1988,A2,,,,si
AA. VV.,No Global - Gli inganni della globalizzazione,Politica,Zelig,2001,A3,,,,si
Bronzo A.,Dai fronti popolari al dopo Stalin,Politica,Ottaviano,1977,A3,,,,si
Castro Fidel,Socialismo e comunismo: un processo unico,Politica,Feltrinelli,1969,A3,,,,si
Cavalli Luciano,Il mutamento sociale,Politica,Il Mulino,1972,A3,,,,si
Hardt Negri,Impero,Politica,Rizzoli,2002,A3,,,,si
Livadiotti Stefano,L'altra casta,Politica,Bompiani,2008,A3,,,,si
Risaliti Renato,Studi sui rapporti italo-russi,Politica,Goliardica,1972,A3,,,,si
Rizzo-Stella,La casta,Politica,Rizzoli,2007,A3,,,,si
Veltri Elio,Le toghe rosse,Politica,Baldini&Castoldi,2002,A3,,,,si
Gorter Hermann,Risposta all'estremismo di Lenin,Politica,Samonà e Savelli,1970,A4,,,,si
Lenin,Opere scelte II,Politica,Mosca,1949,A4,,,,si
Lenin,Sul movimento operaio italiano,Politica,Editori Riuniti,1962,A4,,,,si
Lenin,Opere scelte (2 copie),Politica,Editori Riuniti,1965,A4,,,,si
Lenin,Stato e rivoluzione,Politica,Editori Riuniti,1970,A4,,,,si
Lenin,Tre scritti sul marxismo,Politica,PCI ,1973,A4,,,,si
Lenin,L'imperialismo fase suprema del capitalismo,Politica,Lotta comunista,2002,A4,,,,si
Trotskij Lev,Il giovane Lenin,Politica,Mondadori,1971,A4,,,,si
AA. VV.,Studenti in Francia,Politica,Editori Riuniti,1968,A5,,,,si
AA. VV.,La via cecoslovacca al socialismo,Politica,Editori Riuniti,1968,A5,,,,si
AA. VV.,I cattolici e il dissenso,Politica,Editori Riuniti,1969,A5,,,,si
AA. VV.,La Chiesa si contesta,Politica,Editori Riuniti,1969,A5,,,,si
Allende Salvador,La forza della ragione,Politica,Editori Riuniti,1973,A5,,,,si
Barca Luciano,Il meccanismo unico,Politica,Editori Riuniti,1968,A5,,,,si
Broz Josip Tito,Socialismo jugoslavo,Politica,Editori Riuniti,1969,A5,,,,si
Carrillo Santiago,Democrazia e rivoluzione in Spagna,Politica,Editori Riuniti,1968,A5,,,,si
Corvalan Luis,Il Cile tra rivoluzione e reazione,Politica,Editori Riuniti,1973,A5,,,,si
Dubcek Alexander,Il nuovo corso in Cecoslovacchia,Politica,Editori Riuniti,1968,A5,,,,si
Engels Friedrich,La questione delle abitazioni,Politica,Editori Riuniti,1971,A5,,,,si
